ds,symbol,close,volume
1996-04-11,OLED,5.125,325300
1996-04-12,OLED,4.5,186200
1996-04-15,OLED,4.5,38100
1996-04-16,OLED,4.375,70600
1996-04-17,OLED,4.625,70300
1996-04-18,OLED,4.375,5200
1996-04-19,OLED,4.375,2500
1996-04-22,OLED,4.5,32200
1996-04-23,OLED,4.375,49500
1996-04-24,OLED,4.125,44100
1996-04-25,OLED,4.125,7900
1996-04-26,OLED,4.5,13400
1996-04-29,OLED,4.25,14800
1996-04-30,OLED,4.75,75800
1996-05-01,OLED,4.75,50900
1996-05-02,OLED,4.875,115700
1996-05-03,OLED,5.5,108300
1996-05-06,OLED,5.25,21200
1996-05-07,OLED,5.75,53600
1996-05-08,OLED,5.375,49000
1996-05-09,OLED,5.625,44800
1996-05-10,OLED,5.625,35400
1996-05-13,OLED,5.375,86200
1996-05-14,OLED,5.5,111600
1996-05-15,OLED,7.0,83600
1996-05-16,OLED,8.25,248100
1996-05-17,OLED,7.25,154400
1996-05-20,OLED,7.0,62900
1996-05-21,OLED,6.75,103600
1996-05-22,OLED,6.8125,63700
1996-05-23,OLED,7.125,116500
1996-05-24,OLED,8.5,199100
1996-05-28,OLED,7.625,98000
1996-05-29,OLED,7.5,52800
1996-05-30,OLED,8.375,36000
1996-05-31,OLED,7.75,64100
1996-06-03,OLED,7.5,51400
1996-06-04,OLED,8.125,34900
1996-06-05,OLED,9.5,257800
1996-06-06,OLED,9.75,107600
1996-06-07,OLED,8.875,34300
1996-06-10,OLED,9.25,37500
1996-06-11,OLED,9.625,143800
1996-06-12,OLED,9.75,46700
1996-06-13,OLED,9.5,56900
1996-06-14,OLED,9.375,65200
1996-06-17,OLED,9.375,37300
1996-06-18,OLED,8.75,20000
1996-06-19,OLED,9.0,38800
1996-06-20,OLED,8.125,9100
1996-06-21,OLED,8.5,8200
1996-06-24,OLED,7.875,27600
1996-06-25,OLED,8.5,8800
1996-06-26,OLED,7.25,107300
1996-06-27,OLED,8.0,16700
1996-06-28,OLED,7.25,12300
1996-07-01,OLED,7.875,5100
1996-07-02,OLED,7.125,16100
1996-07-03,OLED,7.4375,22200
1996-07-05,OLED,6.625,11400
1996-07-08,OLED,6.75,38500
1996-07-09,OLED,6.5625,46300
1996-07-10,OLED,5.625,34200
1996-07-11,OLED,5.25,16000
1996-07-12,OLED,5.75,15000
1996-07-15,OLED,5.5,50800
1996-07-16,OLED,5.75,69300
