ds,symbol,close,volume
1996-11-15,PLUS,2.375,4909600
1996-11-18,PLUS,2.3125,578000
1996-11-19,PLUS,2.265625,340800
1996-11-20,PLUS,2.28125,174800
1996-11-21,PLUS,2.25,378400
1996-11-22,PLUS,2.1875,53600
1996-11-25,PLUS,2.1875,77600
1996-11-26,PLUS,2.1875,74400
1996-11-27,PLUS,2.28125,322400
1996-11-29,PLUS,2.28125,20000
1996-12-02,PLUS,2.28125,60800
1996-12-03,PLUS,2.28125,182000
1996-12-04,PLUS,2.40625,204400
1996-12-05,PLUS,2.375,20800
1996-12-06,PLUS,2.3125,112400
1996-12-09,PLUS,2.375,100400
1996-12-10,PLUS,2.375,36000
1996-12-11,PLUS,2.3125,44000
1996-12-12,PLUS,2.375,84000
1996-12-13,PLUS,2.3125,42000
1996-12-16,PLUS,2.3125,0
1996-12-17,PLUS,2.28125,29600
1996-12-18,PLUS,2.28125,4000
1996-12-19,PLUS,2.28125,4000
1996-12-20,PLUS,2.34375,303200
1996-12-23,PLUS,2.34375,180000
1996-12-24,PLUS,2.34375,0
1996-12-26,PLUS,2.34375,0
1996-12-27,PLUS,2.34375,0
1996-12-30,PLUS,2.34375,0
1996-12-31,PLUS,2.375,73600
1997-01-02,PLUS,2.375,60000
1997-01-03,PLUS,2.34375,2000
1997-01-06,PLUS,2.34375,0
1997-01-07,PLUS,2.390625,468800
1997-01-08,PLUS,2.40625,4800
1997-01-09,PLUS,2.34375,32400
1997-01-10,PLUS,2.40625,52000
1997-01-13,PLUS,2.65625,61600
1997-01-14,PLUS,2.625,16000
1997-01-15,PLUS,2.75,14000
1997-01-16,PLUS,2.75,0
1997-01-17,PLUS,2.71875,80800
1997-01-20,PLUS,2.8125,11200
1997-01-21,PLUS,2.875,56400
1997-01-22,PLUS,2.96875,87200
1997-01-23,PLUS,3.25,70000
1997-01-24,PLUS,3.25,24800
1997-01-27,PLUS,3.4375,52000
1997-01-28,PLUS,3.375,59600
1997-01-29,PLUS,3.375,4000
1997-01-30,PLUS,3.25,64000
1997-01-31,PLUS,3.375,27200
1997-02-03,PLUS,3.625,97200
1997-02-04,PLUS,3.3125,16000
1997-02-05,PLUS,3.5625,70000
1997-02-06,PLUS,3.3125,66000
1997-02-07,PLUS,3.3125,400
1997-02-10,PLUS,3.5,65600
1997-02-11,PLUS,3.3125,41600
1997-02-12,PLUS,3.5,400
1997-02-13,PLUS,3.28125,213200
1997-02-14,PLUS,3.25,294400
1997-02-18,PLUS,3.375,17600
1997-02-19,PLUS,3.25,65200
1997-02-20,PLUS,3.25,379200
1997-02-21,PLUS,3.125,95200
1997-02-24,PLUS,3.0625,51600
1997-02-25,PLUS,3.0625,60800
1997-02-26,PLUS,3.0625,14800
1997-02-27,PLUS,3.0625,2000
1997-02-28,PLUS,3.0625,0
1997-03-03,PLUS,3.125,400
1997-03-04,PLUS,3.0625,8400
1997-03-05,PLUS,3.1875,400
1997-03-06,PLUS,3.1875,0
1997-03-07,PLUS,3.0,62000
1997-03-10,PLUS,3.0,22800
1997-03-11,PLUS,2.8125,952000
1997-03-12,PLUS,2.8125,80400
1997-03-13,PLUS,2.875,15200
1997-03-14,PLUS,2.8125,61600
1997-03-17,PLUS,2.8125,30000
1997-03-18,PLUS,2.8125,3600
1997-03-19,PLUS,2.8125,0
1997-03-20,PLUS,2.75,10400
1997-03-21,PLUS,2.75,64800
1997-03-24,PLUS,2.78125,8400
1997-03-25,PLUS,2.75,43200
1997-03-26,PLUS,2.765625,108400
1997-03-27,PLUS,2.75,114800
1997-03-31,PLUS,3.0,8800
1997-04-01,PLUS,2.75,39600
1997-04-02,PLUS,2.75,0
1997-04-03,PLUS,2.75,0
1997-04-04,PLUS,2.75,20000
1997-04-07,PLUS,2.75,12000
1997-04-08,PLUS,2.75,0
1997-04-09,PLUS,2.90625,40000
1997-04-10,PLUS,2.75,18000
1997-04-11,PLUS,2.75,8800
1997-04-14,PLUS,2.765625,181600
1997-04-15,PLUS,2.84375,98400
1997-04-16,PLUS,2.75,132400
1997-04-17,PLUS,2.75,0
1997-04-18,PLUS,2.75,0
1997-04-21,PLUS,2.75,0
1997-04-22,PLUS,2.6875,12000
1997-04-23,PLUS,2.6875,0
1997-04-24,PLUS,2.6875,0
1997-04-25,PLUS,2.6875,17600
1997-04-28,PLUS,2.6875,0
1997-04-29,PLUS,2.6875,0
1997-04-30,PLUS,2.6875,2000
1997-05-01,PLUS,2.75,600000
1997-05-02,PLUS,2.9375,4000
1997-05-05,PLUS,2.9375,8800
1997-05-06,PLUS,2.9375,7600
