ds,symbol,close,volume
1997-09-02,PSMT,17.25,13700
1997-09-03,PSMT,16.0,140100
1997-09-04,PSMT,17.25,72700
1997-09-05,PSMT,17.5,61600
1997-09-08,PSMT,18.125,34000
1997-09-09,PSMT,17.75,44100
1997-09-10,PSMT,17.75,2000
1997-09-11,PSMT,17.75,41400
1997-09-12,PSMT,18.125,700
1997-09-15,PSMT,17.75,133700
1997-09-16,PSMT,18.0,56900
1997-09-17,PSMT,17.125,21300
1997-09-18,PSMT,17.6875,30100
1997-09-19,PSMT,17.875,26300
1997-09-22,PSMT,17.625,1800
1997-09-23,PSMT,17.875,200500
1997-09-24,PSMT,17.875,11100
1997-09-25,PSMT,18.0,43400
1997-09-26,PSMT,18.1875,2500
1997-09-29,PSMT,17.75,175500
1997-09-30,PSMT,18.25,3700
1997-10-01,PSMT,18.1875,18200
1997-10-02,PSMT,18.0,3900
1997-10-03,PSMT,18.0,1300
1997-10-06,PSMT,18.0,2900
1997-10-07,PSMT,18.375,8800
1997-10-08,PSMT,18.4375,2100
1997-10-09,PSMT,18.375,41200
1997-10-10,PSMT,18.375,5800
1997-10-13,PSMT,18.5,6800
1997-10-14,PSMT,18.875,9500
1997-10-15,PSMT,18.875,2700
1997-10-16,PSMT,17.875,5700
1997-10-17,PSMT,17.75,33400
1997-10-20,PSMT,17.875,3400
1997-10-21,PSMT,17.875,76800
1997-10-22,PSMT,17.875,4900
1997-10-23,PSMT,17.9375,128000
1997-10-24,PSMT,18.0,65600
1997-10-27,PSMT,17.0,7600
1997-10-28,PSMT,17.5,24900
1997-10-29,PSMT,17.5,48700
1997-10-30,PSMT,17.0,16900
1997-10-31,PSMT,16.5,8800
1997-11-03,PSMT,17.0,5100
1997-11-04,PSMT,16.5,1800
1997-11-05,PSMT,17.0,2100
1997-11-06,PSMT,16.375,13000
1997-11-07,PSMT,16.125,9600
1997-11-10,PSMT,16.5,200
1997-11-11,PSMT,16.75,4100
1997-11-12,PSMT,15.875,50400
1997-11-13,PSMT,16.1875,19600
1997-11-14,PSMT,16.0,2900
1997-11-17,PSMT,16.25,6700
1997-11-18,PSMT,16.25,18900
1997-11-19,PSMT,17.0,7000
1997-11-20,PSMT,16.25,8200
1997-11-21,PSMT,16.25,700
1997-11-24,PSMT,16.125,4600
1997-11-25,PSMT,16.125,16500
1997-11-26,PSMT,16.25,10600
1997-11-28,PSMT,16.25,0
1997-12-01,PSMT,16.125,1100
1997-12-02,PSMT,16.1875,25000
1997-12-03,PSMT,16.5,11000
1997-12-04,PSMT,17.0,3800
1997-12-05,PSMT,16.5,11400
1997-12-08,PSMT,17.0625,19800
1997-12-09,PSMT,17.0625,6400
1997-12-10,PSMT,16.875,21300
1997-12-11,PSMT,16.875,7300
1997-12-12,PSMT,17.125,7900
1997-12-15,PSMT,16.875,7000
1997-12-16,PSMT,16.875,12300
1997-12-17,PSMT,17.375,158300
1997-12-18,PSMT,17.0,84300
1997-12-19,PSMT,17.1875,67900
1997-12-22,PSMT,17.375,600
1997-12-23,PSMT,17.125,7300
1997-12-24,PSMT,17.0,900
1997-12-26,PSMT,17.0,1900
1997-12-29,PSMT,17.0,6300
1997-12-30,PSMT,17.125,22600
1997-12-31,PSMT,17.125,0
1998-01-02,PSMT,17.1875,1800
1998-01-05,PSMT,17.5,14600
1998-01-06,PSMT,17.75,8600
1998-01-07,PSMT,17.6875,19200
1998-01-08,PSMT,17.75,4100
1998-01-09,PSMT,17.75,3900
1998-01-12,PSMT,17.375,1400
1998-01-13,PSMT,17.375,100
1998-01-14,PSMT,17.125,1500
1998-01-15,PSMT,17.25,59100
1998-01-16,PSMT,17.25,39300
1998-01-20,PSMT,17.5,14100
1998-01-21,PSMT,17.125,3900
1998-01-22,PSMT,17.0,200
1998-01-23,PSMT,17.0,11100
1998-01-26,PSMT,17.0,200
1998-01-27,PSMT,17.0,1900
1998-01-28,PSMT,16.625,10200
1998-01-29,PSMT,16.5,1400
1998-01-30,PSMT,16.5,500
1998-02-02,PSMT,16.5,1100
1998-02-03,PSMT,16.875,28100
1998-02-04,PSMT,16.4375,1100
1998-02-05,PSMT,16.5625,10000
1998-02-06,PSMT,16.375,2200
1998-02-09,PSMT,16.375,17900
1998-02-10,PSMT,16.625,14200
1998-02-11,PSMT,16.375,600
1998-02-12,PSMT,16.375,4500
1998-02-13,PSMT,16.5,900
1998-02-17,PSMT,16.375,700
1998-02-18,PSMT,16.375,600
1998-02-19,PSMT,16.375,900
1998-02-20,PSMT,16.375,300
1998-02-23,PSMT,16.5,1300
1998-02-24,PSMT,16.375,900
1998-02-25,PSMT,16.375,3400
1998-02-26,PSMT,16.375,900
1998-02-27,PSMT,16.25,10800
1998-03-02,PSMT,16.25,1700
1998-03-03,PSMT,16.375,5100
1998-03-04,PSMT,16.25,800
1998-03-05,PSMT,16.25,0
1998-03-06,PSMT,16.125,3400
1998-03-09,PSMT,16.25,7800
1998-03-10,PSMT,16.125,100
1998-03-11,PSMT,16.125,200
1998-03-12,PSMT,16.125,200
1998-03-13,PSMT,16.125,2600
1998-03-16,PSMT,16.5,3200
1998-03-17,PSMT,16.25,100
1998-03-18,PSMT,16.125,300
1998-03-19,PSMT,16.1875,4400
1998-03-20,PSMT,16.25,700
1998-03-23,PSMT,16.125,9600
1998-03-24,PSMT,16.125,13800
1998-03-25,PSMT,16.0,2500
1998-03-26,PSMT,16.125,6100
1998-03-27,PSMT,16.0625,5100
1998-03-30,PSMT,16.0625,9900
1998-03-31,PSMT,16.125,9900
1998-04-01,PSMT,16.0,200
1998-04-02,PSMT,16.0,1700
1998-04-03,PSMT,15.75,200
1998-04-06,PSMT,15.75,2400
1998-04-07,PSMT,15.875,1800
1998-04-08,PSMT,15.6875,600
1998-04-09,PSMT,15.6875,4800
1998-04-13,PSMT,15.625,10400
1998-04-14,PSMT,15.625,600
