ds,symbol,close,volume
2018-03-14,RYTM,26.44,281603
2018-03-15,RYTM,23.56,284678
2018-03-16,RYTM,22.82,214181
2018-03-19,RYTM,21.88,111475
2018-03-20,RYTM,22.35,184840
2018-03-21,RYTM,22.95,88913
2018-03-22,RYTM,21.6,77187
2018-03-23,RYTM,20.9,62469
2018-03-26,RYTM,21.09,104966
2018-03-27,RYTM,20.08,64524
2018-03-28,RYTM,20.23,52008
2018-03-29,RYTM,19.9,49605
2018-04-02,RYTM,17.02,202708
2018-04-03,RYTM,17.96,151416
2018-04-04,RYTM,19.8,123435
2018-04-05,RYTM,20.19,60022
2018-04-06,RYTM,19.46,87759
2018-04-09,RYTM,20.39,88467
2018-04-10,RYTM,20.9,210248
2018-04-11,RYTM,20.72,192431
2018-04-12,RYTM,20.47,124681
2018-04-13,RYTM,22.16,93529
2018-04-16,RYTM,22.43,57819
2018-04-17,RYTM,23.65,50992
2018-04-18,RYTM,22.53,85390
2018-04-19,RYTM,22.42,85654
2018-04-20,RYTM,22.19,19139
2018-04-23,RYTM,23.01,26966
2018-04-24,RYTM,22.78,31088
2018-04-25,RYTM,22.21,115890
2018-04-26,RYTM,23.96,52905
2018-04-27,RYTM,23.18,80714
2018-04-30,RYTM,23.71,63512
2018-05-01,RYTM,24.33,29522
2018-05-02,RYTM,25.19,72011
2018-05-03,RYTM,25.02,92648
2018-05-04,RYTM,25.01,83908
2018-05-07,RYTM,25.19,148818
2018-05-08,RYTM,24.16,157306
2018-05-09,RYTM,24.51,360965
2018-05-10,RYTM,26.52,332899
2018-05-11,RYTM,25.33,230359
2018-05-14,RYTM,28.58,106800
2018-05-15,RYTM,29.84,99056
2018-05-16,RYTM,30.78,148305
2018-05-17,RYTM,31.88,146974
2018-05-18,RYTM,30.71,256749
2018-05-21,RYTM,31.04,298245
2018-05-22,RYTM,29.84,186511
2018-05-23,RYTM,30.4,162690
2018-05-24,RYTM,30.28,70230
2018-05-25,RYTM,30.19,196738
2018-05-29,RYTM,30.56,105282
2018-05-30,RYTM,31.82,204161
2018-05-31,RYTM,32.13,423731
2018-06-01,RYTM,32.39,180536
2018-06-04,RYTM,32.18,171443
2018-06-05,RYTM,33.41,141465
2018-06-06,RYTM,34.89,180807
2018-06-07,RYTM,33.56,101534
2018-06-08,RYTM,32.94,125773
2018-06-11,RYTM,31.93,208686
2018-06-12,RYTM,33.35,175770
2018-06-13,RYTM,32.91,148436
2018-06-14,RYTM,32.77,175209
2018-06-15,RYTM,32.6,171246
2018-06-18,RYTM,28.8,284342
2018-06-19,RYTM,26.17,452428
2018-06-20,RYTM,26.42,411135
2018-06-21,RYTM,32.91,3629346
2018-06-22,RYTM,32.75,966976
2018-06-25,RYTM,33.45,410776
2018-06-26,RYTM,35.2,555794
2018-06-27,RYTM,33.87,480332
2018-06-28,RYTM,31.71,551842
2018-06-29,RYTM,31.26,496375
2018-07-02,RYTM,33.5,559322
2018-07-03,RYTM,35.31,242312
2018-07-05,RYTM,35.85,283820
2018-07-06,RYTM,34.75,827575
2018-07-09,RYTM,34.5,230900
2018-07-10,RYTM,34.0,117046
2018-07-11,RYTM,33.83,173255
2018-07-12,RYTM,33.04,153874
2018-07-13,RYTM,32.31,187355
2018-07-16,RYTM,32.92,95907
2018-07-17,RYTM,32.4,109390
2018-07-18,RYTM,31.98,83869
2018-07-19,RYTM,32.77,100327
2018-07-20,RYTM,31.5,162970
2018-07-23,RYTM,31.88,115297
2018-07-24,RYTM,30.63,101197
2018-07-25,RYTM,30.24,227089
2018-07-26,RYTM,30.6,113331
2018-07-27,RYTM,30.3,131692
2018-07-30,RYTM,29.84,148860
2018-07-31,RYTM,31.04,263850
2018-08-01,RYTM,32.08,107135
2018-08-02,RYTM,32.09,89605
2018-08-03,RYTM,32.44,330020
2018-08-06,RYTM,32.49,86256
2018-08-07,RYTM,32.8,50654
2018-08-08,RYTM,31.83,54160
2018-08-09,RYTM,32.37,150888
2018-08-10,RYTM,31.66,101324
2018-08-13,RYTM,31.88,163910
2018-08-14,RYTM,29.68,73929
2018-08-15,RYTM,28.22,102243
2018-08-16,RYTM,30.45,136086
2018-08-17,RYTM,31.73,118235
2018-08-20,RYTM,30.83,132463
2018-08-21,RYTM,31.21,58290
2018-08-22,RYTM,31.45,63580
2018-08-23,RYTM,30.55,122547
2018-08-24,RYTM,31.67,74068
2018-08-27,RYTM,32.14,125575
2018-08-28,RYTM,31.99,149254
2018-08-29,RYTM,32.62,211502
2018-08-30,RYTM,31.12,190129
2018-08-31,RYTM,31.5,269558
2018-09-04,RYTM,31.51,204603
2018-09-05,RYTM,31.5,153579
2018-09-06,RYTM,29.97,146636
2018-09-07,RYTM,30.87,112694
2018-09-10,RYTM,31.51,79485
2018-09-11,RYTM,31.39,75103
2018-09-12,RYTM,30.77,86128
2018-09-13,RYTM,31.4,71800
2018-09-14,RYTM,30.36,102661
2018-09-17,RYTM,30.47,166517
2018-09-18,RYTM,30.97,89610
2018-09-19,RYTM,31.26,72344
2018-09-20,RYTM,31.06,106987
2018-09-21,RYTM,32.07,1595198
2018-09-24,RYTM,32.0,352894
2018-09-25,RYTM,26.99,466478
2018-09-26,RYTM,29.7,393492
2018-09-27,RYTM,29.85,204210
2018-09-28,RYTM,29.17,218216
2018-10-01,RYTM,28.63,254233
2018-10-02,RYTM,28.67,204976
2018-10-03,RYTM,28.86,209759
2018-10-04,RYTM,26.98,212647
2018-10-05,RYTM,25.38,185096
2018-10-08,RYTM,26.19,132550
2018-10-09,RYTM,25.09,93391
2018-10-10,RYTM,24.33,179097
2018-10-11,RYTM,24.44,131243
2018-10-12,RYTM,26.33,188962
2018-10-15,RYTM,26.54,201045
2018-10-16,RYTM,28.13,112065
2018-10-17,RYTM,28.39,112705
2018-10-18,RYTM,28.11,90821
2018-10-19,RYTM,27.82,113109
2018-10-22,RYTM,27.45,86636
2018-10-23,RYTM,27.03,71501
2018-10-24,RYTM,25.5,237603
2018-10-25,RYTM,28.01,194933
2018-10-26,RYTM,28.87,114859
2018-10-29,RYTM,26.7,144821
2018-10-30,RYTM,26.65,85039
2018-10-31,RYTM,28.01,151722
2018-11-01,RYTM,28.89,87547
2018-11-02,RYTM,30.96,311095
2018-11-05,RYTM,29.63,109286
2018-11-06,RYTM,29.9,49877
2018-11-07,RYTM,30.25,101528
2018-11-08,RYTM,31.34,75947
2018-11-09,RYTM,29.35,114668
2018-11-12,RYTM,27.5,125229
2018-11-13,RYTM,28.44,121664
2018-11-14,RYTM,26.54,88867
2018-11-15,RYTM,27.45,196431
2018-11-16,RYTM,28.71,101942
2018-11-19,RYTM,27.22,111224
2018-11-20,RYTM,27.22,91275
2018-11-21,RYTM,28.36,152721
2018-11-23,RYTM,28.5,70493
2018-11-26,RYTM,29.28,120758
2018-11-27,RYTM,28.26,72192
2018-11-28,RYTM,29.24,132831
2018-11-29,RYTM,28.9,95374
2018-11-30,RYTM,29.53,77216
2018-12-03,RYTM,29.28,101951
2018-12-04,RYTM,27.41,134438
2018-12-06,RYTM,27.86,141761
2018-12-07,RYTM,27.24,149852
2018-12-10,RYTM,27.58,120526
2018-12-11,RYTM,27.08,114304
2018-12-12,RYTM,28.16,97201
2018-12-13,RYTM,28.1,126750
2018-12-14,RYTM,28.12,111472
2018-12-17,RYTM,27.77,187363
2018-12-18,RYTM,28.5,322047
2018-12-19,RYTM,25.43,146003
2018-12-20,RYTM,25.1,182968
2018-12-21,RYTM,24.51,856586
2018-12-24,RYTM,24.11,99917
2018-12-26,RYTM,27.1,107498
2018-12-27,RYTM,26.21,82162
2018-12-28,RYTM,27.03,92264
2018-12-31,RYTM,26.88,143420
2019-01-02,RYTM,27.24,118708
2019-01-03,RYTM,24.76,85862
2019-01-04,RYTM,26.64,142803
2019-01-07,RYTM,28.3,198640
2019-01-08,RYTM,28.96,140153
2019-01-09,RYTM,29.03,123010
2019-01-10,RYTM,29.3,93782
2019-01-11,RYTM,29.01,81408
2019-01-14,RYTM,28.04,177110
2019-01-15,RYTM,29.11,65361
2019-01-16,RYTM,29.4,81841
2019-01-17,RYTM,29.91,58331
2019-01-18,RYTM,30.03,90078
2019-01-22,RYTM,29.97,180637
2019-01-23,RYTM,28.78,101596
2019-01-24,RYTM,28.45,64610
2019-01-25,RYTM,28.01,87855
2019-01-28,RYTM,26.07,77205
2019-01-29,RYTM,26.16,54410
2019-01-30,RYTM,26.48,79881
2019-01-31,RYTM,26.6,57788
2019-02-01,RYTM,27.01,94242
2019-02-04,RYTM,27.83,47364
2019-02-05,RYTM,27.95,75315
2019-02-06,RYTM,28.52,36030
2019-02-07,RYTM,27.51,43711
2019-02-08,RYTM,28.35,58045
2019-02-11,RYTM,29.05,50029
2019-02-12,RYTM,29.71,55130
2019-02-13,RYTM,29.78,36428
2019-02-14,RYTM,29.71,60567
2019-02-15,RYTM,30.04,85269
2019-02-19,RYTM,29.44,56680
2019-02-20,RYTM,29.38,43070
2019-02-21,RYTM,27.5,50738
2019-02-22,RYTM,27.52,70745
2019-02-25,RYTM,29.3,115743
2019-02-26,RYTM,29.67,41239
2019-02-27,RYTM,29.33,75634
2019-02-28,RYTM,28.68,48194
2019-03-01,RYTM,29.32,51340
2019-03-04,RYTM,28.47,73500
2019-03-05,RYTM,28.63,56166
2019-03-06,RYTM,25.9,112215
2019-03-07,RYTM,27.56,91238
2019-03-08,RYTM,27.92,74439
2019-03-11,RYTM,29.17,96070
2019-03-12,RYTM,29.49,63120
2019-03-13,RYTM,29.83,61267
2019-03-14,RYTM,29.44,70151
2019-03-15,RYTM,30.02,202172
2019-03-18,RYTM,30.27,87025
2019-03-19,RYTM,30.37,67504
2019-03-20,RYTM,30.26,46434
2019-03-21,RYTM,30.65,73134
2019-03-22,RYTM,29.94,114347
2019-03-25,RYTM,30.34,103149
2019-03-26,RYTM,31.66,132752
2019-03-27,RYTM,30.03,54796
2019-03-28,RYTM,29.85,145194
2019-03-29,RYTM,27.41,204862
2019-04-01,RYTM,27.77,90155
2019-04-02,RYTM,28.16,77591
2019-04-03,RYTM,28.33,50707
2019-04-04,RYTM,27.55,47550
2019-04-05,RYTM,27.99,43901
2019-04-08,RYTM,28.04,38137
2019-04-09,RYTM,27.21,114339
2019-04-10,RYTM,27.38,38233
2019-04-11,RYTM,26.52,44075
2019-04-12,RYTM,25.96,167148
2019-04-15,RYTM,25.74,57218
2019-04-16,RYTM,26.47,72323
2019-04-17,RYTM,25.41,96687
2019-04-18,RYTM,26.24,124252
2019-04-22,RYTM,25.69,45186
2019-04-23,RYTM,25.96,78326
2019-04-24,RYTM,25.19,116399
2019-04-25,RYTM,25.5,86084
2019-04-26,RYTM,25.92,42013
2019-04-29,RYTM,25.85,44618
2019-04-30,RYTM,25.28,113981
2019-05-01,RYTM,25.03,84181
2019-05-02,RYTM,25.82,61771
2019-05-03,RYTM,25.57,221910
2019-05-06,RYTM,25.65,64079
2019-05-07,RYTM,24.92,138094
2019-05-08,RYTM,25.55,56974
2019-05-09,RYTM,25.31,73215
2019-05-10,RYTM,26.12,89476
2019-05-13,RYTM,25.31,96822
2019-05-14,RYTM,25.68,101528
2019-05-15,RYTM,26.35,48754
2019-05-16,RYTM,26.7,72732
2019-05-17,RYTM,26.86,96569
2019-05-20,RYTM,26.71,108142
2019-05-21,RYTM,27.77,127710
2019-05-22,RYTM,28.48,249477
2019-05-23,RYTM,26.51,147473
2019-05-24,RYTM,26.0,99646
2019-05-28,RYTM,25.16,251259
2019-05-29,RYTM,25.23,128182
2019-05-30,RYTM,25.42,77636
2019-05-31,RYTM,25.19,219476
2019-06-03,RYTM,25.45,94008
2019-06-04,RYTM,25.62,167316
2019-06-05,RYTM,25.05,68891
2019-06-06,RYTM,24.06,116544
2019-06-07,RYTM,24.54,100903
2019-06-10,RYTM,24.63,90919
2019-06-11,RYTM,22.61,158956
2019-06-12,RYTM,22.81,203884
2019-06-13,RYTM,23.71,107792
2019-06-14,RYTM,22.35,118373
2019-06-17,RYTM,22.83,127386
2019-06-18,RYTM,22.6,144141
2019-06-19,RYTM,22.93,83304
2019-06-20,RYTM,22.6,152824
2019-06-21,RYTM,22.02,294910
2019-06-24,RYTM,21.11,214601
2019-06-25,RYTM,21.4,152984
2019-06-26,RYTM,21.53,154358
2019-06-27,RYTM,21.69,232747
2019-06-28,RYTM,22.0,1145257
2019-07-01,RYTM,21.87,163579
2019-07-02,RYTM,21.42,214300
2019-07-03,RYTM,21.26,46686
2019-07-05,RYTM,21.1,130581
2019-07-08,RYTM,21.87,440274
2019-07-09,RYTM,21.8,361844
2019-07-10,RYTM,21.75,192467
2019-07-11,RYTM,20.66,118032
2019-07-12,RYTM,21.18,477802
2019-07-15,RYTM,20.44,204639
2019-07-16,RYTM,21.19,188175
2019-07-17,RYTM,20.85,82988
2019-07-18,RYTM,21.12,92675
2019-07-19,RYTM,21.39,233271
2019-07-22,RYTM,20.79,147265
2019-07-23,RYTM,20.49,89792
2019-07-24,RYTM,20.72,97663
2019-07-25,RYTM,20.04,138195
2019-07-26,RYTM,19.99,129017
2019-07-29,RYTM,19.89,160399
2019-07-30,RYTM,19.05,328579
2019-07-31,RYTM,19.25,333967
2019-08-01,RYTM,19.25,441865
2019-08-02,RYTM,19.42,320899
2019-08-05,RYTM,18.62,196406
2019-08-06,RYTM,19.0,176852
2019-08-07,RYTM,21.84,2981979
2019-08-08,RYTM,22.03,320504
2019-08-09,RYTM,21.33,210707
2019-08-12,RYTM,18.81,351755
2019-08-13,RYTM,19.94,162056
2019-08-14,RYTM,20.0,257682
2019-08-15,RYTM,19.88,145776
2019-08-16,RYTM,20.6,157903
2019-08-19,RYTM,21.1,133258
2019-08-20,RYTM,21.48,125328
2019-08-21,RYTM,21.7,92396
2019-08-22,RYTM,21.55,117017
2019-08-23,RYTM,21.57,174037
2019-08-26,RYTM,21.41,85640
2019-08-27,RYTM,21.77,178429
2019-08-28,RYTM,22.33,148490
2019-08-29,RYTM,22.58,373151
2019-08-30,RYTM,22.52,136406
2019-09-03,RYTM,22.49,287790
2019-09-04,RYTM,21.91,525715
2019-09-05,RYTM,21.0,181333
2019-09-06,RYTM,20.51,221797
2019-09-09,RYTM,21.44,187660
2019-09-10,RYTM,21.28,129789
2019-09-11,RYTM,23.02,144949
2019-09-12,RYTM,22.94,101325
2019-09-13,RYTM,23.85,331086
2019-09-16,RYTM,24.36,172413
2019-09-17,RYTM,24.22,150220
2019-09-18,RYTM,24.13,87762
2019-09-19,RYTM,23.84,86388
2019-09-20,RYTM,24.51,314943
2019-09-23,RYTM,23.99,163034
2019-09-24,RYTM,23.79,311107
2019-09-25,RYTM,24.13,409629
2019-09-26,RYTM,22.07,138372
2019-09-27,RYTM,21.19,216497
2019-09-30,RYTM,21.59,138478
2019-10-01,RYTM,21.72,131415
2019-10-02,RYTM,21.73,144600
2019-10-03,RYTM,20.89,289308
2019-10-04,RYTM,20.155,506068
2019-10-07,RYTM,20.33,150043
2019-10-08,RYTM,19.53,156687
2019-10-09,RYTM,19.62,131754
2019-10-10,RYTM,20.68,165440
2019-10-11,RYTM,20.87,118368
2019-10-14,RYTM,20.41,69811
2019-10-15,RYTM,20.89,77483
2019-10-16,RYTM,20.42,1789228
2019-10-17,RYTM,20.99,271153
2019-10-18,RYTM,21.385,408668
2019-10-21,RYTM,23.56,360750
2019-10-22,RYTM,23.6,284383
2019-10-23,RYTM,23.16,223715
2019-10-24,RYTM,21.37,341660
2019-10-25,RYTM,21.66,583097
2019-10-28,RYTM,21.5,183852
2019-10-29,RYTM,21.34,188899
2019-10-30,RYTM,21.34,176446
2019-10-31,RYTM,21.32,344330
2019-11-01,RYTM,21.7,342680
2019-11-04,RYTM,21.45,172094
2019-11-05,RYTM,21.49,315694
2019-11-06,RYTM,21.05,196092
2019-11-07,RYTM,21.39,304994
2019-11-08,RYTM,21.5,126361
2019-11-11,RYTM,21.61,352342
2019-11-12,RYTM,21.27,126410
2019-11-13,RYTM,21.1,107126
2019-11-14,RYTM,21.53,204949
2019-11-15,RYTM,21.84,118187
2019-11-18,RYTM,21.88,96505
2019-11-19,RYTM,22.21,167499
2019-11-20,RYTM,22.21,412834
2019-11-21,RYTM,21.1,679566
2019-11-22,RYTM,21.98,332834
2019-11-25,RYTM,23.355,540930
2019-11-26,RYTM,23.27,328001
2019-11-27,RYTM,22.84,197648
2019-11-29,RYTM,22.45,118416
2019-12-02,RYTM,22.01,203194
2019-12-03,RYTM,22.4,423945
2019-12-04,RYTM,22.52,235917
2019-12-05,RYTM,23.87,494677
2019-12-06,RYTM,24.41,272148
2019-12-09,RYTM,24.85,268438
2019-12-10,RYTM,25.495,214877
2019-12-11,RYTM,24.76,512401
2019-12-12,RYTM,24.91,150257
2019-12-13,RYTM,23.61,354437
2019-12-16,RYTM,23.75,182632
2019-12-17,RYTM,23.67,124064
2019-12-18,RYTM,23.16,153076
2019-12-19,RYTM,23.35,338887
2019-12-20,RYTM,23.35,1289172
2019-12-23,RYTM,23.99,183382
2019-12-24,RYTM,24.53,98711
2019-12-26,RYTM,22.51,254429
2019-12-27,RYTM,22.98,244179
2019-12-30,RYTM,22.97,154539
2019-12-31,RYTM,22.96,165332
