ds,symbol,close,volume
1997-02-04,MTN,22.5,6573500
1997-02-05,MTN,22.0,2471100
1997-02-06,MTN,22.0,2351300
1997-02-07,MTN,21.25,813300
1997-02-10,MTN,20.125,373500
1997-02-11,MTN,20.75,136500
1997-02-12,MTN,20.375,126600
1997-02-13,MTN,20.25,254800
1997-02-14,MTN,19.375,372200
1997-02-18,MTN,19.125,204400
1997-02-19,MTN,19.0,489100
1997-02-20,MTN,19.875,296200
1997-02-21,MTN,19.625,161100
1997-02-24,MTN,19.5,1415800
1997-02-25,MTN,20.875,288300
1997-02-26,MTN,21.875,147600
1997-02-27,MTN,22.25,339100
1997-02-28,MTN,21.875,135000
1997-03-03,MTN,21.75,146300
1997-03-04,MTN,21.375,63100
1997-03-05,MTN,21.375,31100
1997-03-06,MTN,21.0,129500
1997-03-07,MTN,20.5,89200
1997-03-10,MTN,20.875,76500
1997-03-11,MTN,21.125,76600
1997-03-12,MTN,20.75,77200
1997-03-13,MTN,20.25,139000
1997-03-14,MTN,20.5,65500
1997-03-17,MTN,20.25,173500
1997-03-18,MTN,20.5,89700
1997-03-19,MTN,20.75,77500
1997-03-20,MTN,20.5,38800
1997-03-21,MTN,20.875,70100
1997-03-24,MTN,20.75,26000
1997-03-25,MTN,20.625,21100
1997-03-26,MTN,20.375,58100
1997-03-27,MTN,20.0,50800
1997-03-31,MTN,19.5,199000
1997-04-01,MTN,18.875,57000
1997-04-02,MTN,18.375,92000
1997-04-03,MTN,17.625,385700
1997-04-04,MTN,18.75,46400
1997-04-07,MTN,19.25,112100
1997-04-08,MTN,19.75,30700
1997-04-09,MTN,20.0,71600
1997-04-10,MTN,20.0,9800
1997-04-11,MTN,19.375,96700
1997-04-14,MTN,19.125,45500
1997-04-15,MTN,19.375,45400
1997-04-16,MTN,19.25,95000
1997-04-17,MTN,19.375,55100
1997-04-18,MTN,19.25,132400
1997-04-21,MTN,18.875,102300
1997-04-22,MTN,18.5,32900
1997-04-23,MTN,18.5,76400
1997-04-24,MTN,18.5,62400
1997-04-25,MTN,17.5,86700
1997-04-28,MTN,18.5,52400
1997-04-29,MTN,19.375,69900
1997-04-30,MTN,20.375,126200
1997-05-01,MTN,20.125,84700
1997-05-02,MTN,20.125,115300
1997-05-05,MTN,21.375,60400
1997-05-06,MTN,21.5,105200
1997-05-07,MTN,21.5,38300
1997-05-08,MTN,21.75,86800
